#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Listeria monocytogenes","Lm96",20017,SAMN05410647 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710755.1 ,2.91213,37.9,-,MDPD01,28,2983,2891,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/755/GCF_001710755.1_ASM171075v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/755/GCA_001710755.1_ASM171075v1
"Listeria monocytogenes","Lm191",20017,SAMN05410690 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710785.1 ,2.87833,37.9,-,MDPU01,23,2898,2814,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/785/GCF_001710785.1_ASM171078v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/785/GCA_001710785.1_ASM171078v1
"Listeria monocytogenes","A147",20017,SAMN05410840 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710805.1 ,3.03608,37.8,-,MDOV01,285,3140,2931,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/805/GCF_001710805.1_ASM171080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/805/GCA_001710805.1_ASM171080v1
"Listeria monocytogenes","A19",20017,SAMN05410821 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710815.1 ,3.04837,37.8,-,MDOU01,25,3130,3043,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/815/GCF_001710815.1_ASM171081v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/815/GCA_001710815.1_ASM171081v1
"Listeria monocytogenes","Lm230",20017,SAMN05410725 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710845.1 ,2.9191,37.9,-,MDPT01,18,2964,2873,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/845/GCF_001710845.1_ASM171084v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/845/GCA_001710845.1_ASM171084v1
"Listeria monocytogenes","Lm224",20017,SAMN05410715 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710855.1 ,2.94498,37.9,-,MDPY01,29,3019,2926,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/855/GCF_001710855.1_ASM171085v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/855/GCA_001710855.1_ASM171085v1
"Listeria monocytogenes","Lm11",20017,SAMN05410570 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710885.1 ,2.91957,37.9,-,MDPP01,18,2974,2897,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/885/GCF_001710885.1_ASM171088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/885/GCA_001710885.1_ASM171088v1
"Listeria monocytogenes","Lm60",20017,SAMN05410586 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710905.1 ,2.97233,37.9,-,MDPK01,28,3008,2919,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/905/GCF_001710905.1_ASM171090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/905/GCA_001710905.1_ASM171090v1
"Listeria monocytogenes","Lm32",20017,SAMN05410578 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710925.1 ,2.97042,37.9,-,MDPO01,28,3026,2944,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/925/GCF_001710925.1_ASM171092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/925/GCA_001710925.1_ASM171092v1
"Listeria monocytogenes","A504",20017,SAMN05410815 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710935.1 ,3.00837,37.8,-,MDOD01,21,3095,3009,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/935/GCF_001710935.1_ASM171093v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/935/GCA_001710935.1_ASM171093v1
"Listeria monocytogenes","A22",20017,SAMN05410751 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710965.1 ,2.95429,37.9,-,MDOT01,23,3012,2922,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/965/GCF_001710965.1_ASM171096v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/965/GCA_001710965.1_ASM171096v1
"Listeria monocytogenes","A512",20017,SAMN05410772 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710985.1 ,2.97715,37.8,-,MDNY01,20,3039,2943,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/985/GCF_001710985.1_ASM171098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/985/GCA_001710985.1_ASM171098v1
"Listeria monocytogenes","A508",20017,SAMN05410771 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001710995.1 ,2.96086,37.8,-,MDOA01,19,3007,2924,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/710/995/GCF_001710995.1_ASM171099v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/710/995/GCA_001710995.1_ASM171099v1
"Listeria monocytogenes","Lm227",20017,SAMN05410720 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711015.1 ,2.91077,37.9,-,MDPV01,23,2933,2856,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/015/GCF_001711015.1_ASM171101v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/015/GCA_001711015.1_ASM171101v1
"Listeria monocytogenes","A505",20017,SAMN05410783 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711035.1 ,2.99778,37.8,-,MDOC01,35,3060,2987,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/035/GCF_001711035.1_ASM171103v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/035/GCA_001711035.1_ASM171103v1
"Listeria monocytogenes","Lm69",20017,SAMN05410587 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711055.1 ,2.9562,37.9,-,MDPJ01,20,3013,2922,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/055/GCF_001711055.1_ASM171105v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/055/GCA_001711055.1_ASM171105v1
"Listeria monocytogenes","Lm88",20017,SAMN05410638 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711085.1 ,2.95598,37.9,-,MDPF01,22,3009,2920,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/085/GCF_001711085.1_ASM171108v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/085/GCA_001711085.1_ASM171108v1
"Listeria monocytogenes","OCF07",20017,SAMN05410691 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711105.1 ,2.92993,37.9,-,MDPA01,27,2932,2854,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/105/GCF_001711105.1_ASM171110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/105/GCA_001711105.1_ASM171110v1
"Listeria monocytogenes","Lm92",20017,SAMN05410641 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711125.1 ,2.85616,37.9,-,MDPE01,16,2927,2855,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/125/GCF_001711125.1_ASM171112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/125/GCA_001711125.1_ASM171112v1
"Listeria monocytogenes","OCF54",20017,SAMN05410694 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711145.1 ,2.9172,37.9,-,MDPC01,36,2935,2835,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/145/GCF_001711145.1_ASM171114v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/145/GCA_001711145.1_ASM171114v1
"Listeria monocytogenes","A143",20017,SAMN05410825 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711165.1 ,2.97825,37.8,-,MDOX01,18,3057,2965,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/165/GCF_001711165.1_ASM171116v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/165/GCA_001711165.1_ASM171116v1
"Listeria monocytogenes","Lm234",20017,SAMN05410736 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711185.1 ,2.87892,37.9,-,MDPR01,21,2904,2827,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/185/GCF_001711185.1_ASM171118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/185/GCA_001711185.1_ASM171118v1
"Listeria monocytogenes","A146",20017,SAMN05410769 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711195.1 ,2.99736,37.9,-,MDOW01,27,3029,2935,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/195/GCF_001711195.1_ASM171119v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/195/GCA_001711195.1_ASM171119v1
"Listeria monocytogenes","Lm77",20017,SAMN05410629 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711215.1 ,2.95556,37.9,-,MDPI01,21,3002,2922,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/215/GCF_001711215.1_ASM171121v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/215/GCA_001711215.1_ASM171121v1
"Listeria monocytogenes","Lm221",20017,SAMN05410711 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711245.1 ,2.94996,37.8,-,MDQB01,20,3017,2934,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/245/GCF_001711245.1_ASM171124v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/245/GCA_001711245.1_ASM171124v1
"Listeria monocytogenes","Lm78",20017,SAMN05410631 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711255.1 ,2.91555,37.9,-,MDPH01,18,2980,2908,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/255/GCF_001711255.1_ASM171125v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/255/GCA_001711255.1_ASM171125v1
"Listeria monocytogenes","Lm84",20017,SAMN05410634 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711285.1 ,2.91513,37.9,-,MDPG01,15,2990,2907,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/285/GCF_001711285.1_ASM171128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/285/GCA_001711285.1_ASM171128v1
"Listeria monocytogenes","Lm232",20017,SAMN05410727 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711295.1 ,2.88876,37.9,-,MDPS01,19,2925,2845,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/295/GCF_001711295.1_ASM171129v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/295/GCA_001711295.1_ASM171129v1
"Listeria monocytogenes","Lm220",20017,SAMN05410710 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711325.1 ,2.98731,37.9,-,MDQC01,23,3034,2944,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/325/GCF_001711325.1_ASM171132v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/325/GCA_001711325.1_ASM171132v1
"Listeria monocytogenes","A23",20017,SAMN05410836 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711345.1 ,2.95262,37.9,-,MDOS01,19,2998,2921,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/345/GCF_001711345.1_ASM171134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/345/GCA_001711345.1_ASM171134v1
"Listeria monocytogenes","A38",20017,SAMN05410796 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711355.1 ,3.0835,37.8,-,MDOL01,47,3188,3100,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/355/GCF_001711355.1_ASM171135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/355/GCA_001711355.1_ASM171135v1
"Listeria monocytogenes","Lm41",20017,SAMN05410581 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711385.1 ,2.9715,37.8,-,MDPM01,24,2999,2918,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/385/GCF_001711385.1_ASM171138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/385/GCA_001711385.1_ASM171138v1
"Listeria monocytogenes","A30",20017,SAMN05410755 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711395.1 ,2.99966,37.8,-,MDOP01,23,3078,2994,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/395/GCF_001711395.1_ASM171139v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/395/GCA_001711395.1_ASM171139v1
"Listeria monocytogenes","OCF45",20017,SAMN05410693 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711425.1 ,2.91235,37.9,-,MDOZ01,26,2942,2870,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/425/GCF_001711425.1_ASM171142v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/425/GCA_001711425.1_ASM171142v1
"Listeria monocytogenes","A40",20017,SAMN05410838 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711435.1 ,2.97354,37.9,-,MDOJ01,21,3009,2928,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/435/GCF_001711435.1_ASM171143v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/435/GCA_001711435.1_ASM171143v1
"Listeria monocytogenes","A4",20017,SAMN05410820 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711465.1 ,3.05327,37.9,-,MDOK01,19,3129,3046,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/465/GCF_001711465.1_ASM171146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/465/GCA_001711465.1_ASM171146v1
"Listeria monocytogenes","A41",20017,SAMN05410797 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711475.1 ,2.99266,37.8,-,MDOI01,14,3060,2972,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/475/GCF_001711475.1_ASM171147v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/475/GCA_001711475.1_ASM171147v1
"Listeria monocytogenes","A45",20017,SAMN05410824 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711505.1 ,3.01231,37.9,-,MDOH01,22,3041,2955,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/505/GCF_001711505.1_ASM171150v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/505/GCA_001711505.1_ASM171150v1
"Listeria monocytogenes","A3",20017,SAMN05410740 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711525.1 ,2.99975,37.9,-,MDOQ01,20,3067,2985,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/525/GCF_001711525.1_ASM171152v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/525/GCA_001711525.1_ASM171152v1
"Listeria monocytogenes","A28",20017,SAMN05410792 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711535.1 ,2.98445,37.9,-,MDOR01,18,3035,2952,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/535/GCF_001711535.1_ASM171153v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/535/GCA_001711535.1_ASM171153v1
"Listeria monocytogenes","A37",20017,SAMN05410764 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711565.1 ,3.06392,37.8,-,MDOM01,77,3179,3059,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/565/GCF_001711565.1_ASM171156v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/565/GCA_001711565.1_ASM171156v1
"Listeria monocytogenes","A35",20017,SAMN05410763 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711575.1 ,3.00291,37.8,-,MDOO01,22,3069,2988,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/575/GCF_001711575.1_ASM171157v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/575/GCA_001711575.1_ASM171157v1
"Listeria monocytogenes","A55",20017,SAMN05410800 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711605.1 ,2.99648,37.8,-,MDNJ01,20,3049,2974,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/605/GCF_001711605.1_ASM171160v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/605/GCA_001711605.1_ASM171160v1
"Listeria monocytogenes","A544",20017,SAMN05410782 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711625.1 ,3.00721,37.8,-,MDNL01,22,3084,3005,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/625/GCF_001711625.1_ASM171162v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/625/GCA_001711625.1_ASM171162v1
"Listeria monocytogenes","A58",20017,SAMN05410766 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711635.1 ,3.12721,37.8,-,MDNB01,32,3190,3090,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/635/GCF_001711635.1_ASM171163v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/635/GCA_001711635.1_ASM171163v1
"Listeria monocytogenes","A507",20017,SAMN05256774 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711645.1 ,3.05302,37.8,-,MDOB01,36,3154,3071,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/645/GCF_001711645.1_ASM171164v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/645/GCA_001711645.1_ASM171164v1
"Listeria monocytogenes","A509",20017,SAMN05410826 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711685.1 ,3.05267,37.8,-,MDNZ01,39,3155,3070,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/685/GCF_001711685.1_ASM171168v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/685/GCA_001711685.1_ASM171168v1
"Listeria monocytogenes","A46",20017,SAMN05410799 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711695.1 ,3.051,37.8,-,MDOG01,27,3128,3049,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/695/GCF_001711695.1_ASM171169v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/695/GCA_001711695.1_ASM171169v1
"Listeria monocytogenes","A500",20017,SAMN05410806 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711725.1 ,3.02749,37.8,-,MDOE01,25,3097,3016,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/725/GCF_001711725.1_ASM171172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/725/GCA_001711725.1_ASM171172v1
"Listeria monocytogenes","A49",20017,SAMN05410795 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711735.1 ,3.12273,37.8,-,MDOF01,57,3230,3130,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/735/GCF_001711735.1_ASM171173v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/735/GCA_001711735.1_ASM171173v1
"Listeria monocytogenes","A36",20017,SAMN05410798 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711745.1 ,3.06859,37.8,-,MDON01,56,3162,3068,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/745/GCF_001711745.1_ASM171174v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/745/GCA_001711745.1_ASM171174v1
"Listeria monocytogenes","A538",20017,SAMN05410813 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711785.1 ,2.9941,37.8,-,MDNO01,17,3058,2983,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/785/GCF_001711785.1_ASM171178v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/785/GCA_001711785.1_ASM171178v1
"Listeria monocytogenes","A536",20017,SAMN05410780 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711805.1 ,2.96658,37.9,-,MDNQ01,19,3029,2950,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/805/GCF_001711805.1_ASM171180v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/805/GCA_001711805.1_ASM171180v1
"Listeria monocytogenes","A537",20017,SAMN05410829 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711815.1 ,3.01289,37.8,-,MDNP01,33,3116,3027,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/815/GCF_001711815.1_ASM171181v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/815/GCA_001711815.1_ASM171181v1
"Listeria monocytogenes","A546",20017,SAMN05410833 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711835.1 ,2.94966,37.9,-,MDNK01,19,3015,2935,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/835/GCF_001711835.1_ASM171183v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/835/GCA_001711835.1_ASM171183v1
"Listeria monocytogenes","A540",20017,SAMN05410781 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711865.1 ,3.05375,37.9,-,MDNM01,23,3130,3048,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/865/GCF_001711865.1_ASM171186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/865/GCA_001711865.1_ASM171186v1
"Listeria monocytogenes","A521-3",20017,SAMN05410775 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711885.1 ,2.9694,37.9,-,MDNV01,20,3039,2949,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/885/GCF_001711885.1_ASM171188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/885/GCA_001711885.1_ASM171188v1
"Listeria monocytogenes","A514",20017,SAMN05410805 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711905.1 ,3.01068,37.8,-,MDNX01,22,3097,3011,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/905/GCF_001711905.1_ASM171190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/905/GCA_001711905.1_ASM171190v1
"Listeria monocytogenes","A524",20017,SAMN05410776 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711915.1 ,2.94978,37.9,-,MDNU01,19,3016,2936,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/915/GCF_001711915.1_ASM171191v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/915/GCA_001711915.1_ASM171191v1
"Listeria monocytogenes","A517",20017,SAMN05410773 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711935.1 ,3.02718,37.8,-,MDNW01,25,3099,3014,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/935/GCF_001711935.1_ASM171193v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/935/GCA_001711935.1_ASM171193v1
"Listeria monocytogenes","A54",20017,SAMN05410839 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711945.1 ,3.05429,37.9,-,MDNN01,17,3141,3046,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/945/GCF_001711945.1_ASM171194v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/945/GCA_001711945.1_ASM171194v1
"Listeria monocytogenes","A552",20017,SAMN05410818 ,PRJNA329415,"Terrabacteria group","Firmicutes",GCA_001711985.1 ,3.00177,37.8,-,MDNH01,25,3065,2984,2016/08/24,2017/03/01,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/711/985/GCF_001711985.1_ASM171198v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/711/985/GCA_001711985.1_ASM171198v1
